Rank,Word,Pronunciation,PoS,Definition
681,respect,/rɪˈspɛkt/,verb,to think very highly of another person because of what they do
606,response,/rɪˈspɒns/,noun,something said or written as an answer to something
528,rest,/rɛst/,noun,"time when one relaxes, sleeps, or is inactive"
730,review,/rɪˈvju/,verb,to carefully look at the quality of something
462,rise,/raɪz/,verb,to move from a lower position to a higher one
545,risk,/rɪsk/,verb,to take the chance that you may do something dangerous
521,road,/roʊd/,noun,long piece of hard land for cars to travel on
468,role,/roʊl/,noun,character played by an actor
519,round,/raʊnd/,adj,being in the shape of a circle or ball
415,rule,/rul/,noun,statement that says how things should be
566,save,/seɪv/,verb,to rescue someone or something from a bad situation
750,season,/ˈsi.zən/,noun,one of the four parts of the year determined mainly by the weather during that time
668,section,/ˈsɛk.ʃən/,noun,one of the parts that form something
541,security,/sɪˈkjʊər.ɪ.ti/,noun,"things done to protect people, buildings, a country, etc., from harm"
778,seek,/sik/,verb,to search for; to try to find; look for
418,sell,/sɛl/,verb,to exchange something for money
412,sense,/sɛns/,verb,"to perceive using sight, sound, taste touch or hearing"
723,series,/ˈsɪər.iz/,noun,number of things that happen one after another
796,serious,/ˈsɪər.i.əs/,adj,needing thought or concentration; important; in a sober manner
534,serve,/sɜrv/,verb,to give or provide something to another person
437,shop,/ʃɑp/,noun,place which sells things
419,short,/ʃɔrt/,noun,small distance from one end to the other
500,sign,/saɪn/,noun,"something such as a mark or event that shows that something exists, is true, is happening or will happen"
720,significant,/sɪgˈnɪf.ɪ.kənt/,adj,large enough to be noticed or have an effect; important
594,similar,/ˈsɪm.ə.lər/,adj,nearly the same
688,simple,/ˈsɪm.pəl/,adj,not hard to understand or do; not complex
626,simply,/ˈsɪm.pli/,adv,in an easy or clear manner
557,single,/ˈsɪŋ.gəl/,adj,"only, merely"
494,site,/saɪt/,noun,"present, former, or future location of something, such as a building"
430,situation,/ˌsɪtʃ.uˈeɪ.ʃən/,noun,"condition, location or position"
705,size,/saɪz/,noun,how big or small a thing is
685,skill,/skɪl/,noun,ability to do something well
562,society,/səˈsaɪ.ɪ.ti/,noun,community of people living together
788,solution,/səˈlu.ʃən/,noun,something that ends a problem
439,someone,/ˈsʌmˌwʌn/,pron,person who is not known or named
444,sometimes,/ˈsʌmˌtaɪmz/,adv,only at certain times; occasionally
687,son,/sʌn/,noun,male child; friendly way of addressing a boy
765,sorry,/ˈsɔr.i/,intj,what you say to admit you were wrong
623,source,/sɔrs/,noun,produces or provides what is wanted or needed
552,space,/speɪs/,noun,empty area with nothing in it
443,special,/ˈspɛʃ.əl/,adj,different from what is usual; better or greater than normal
791,specific,/spəˈsɪf.ɪk/,adj,special or particular; clearly presented or stated
603,sport,/spɔrt/,noun,game or physical exercise with rules
431,staff,/stæf/,noun,employees of a company
551,stage,/steɪdʒ/,noun,place where actors or musician perform for others
547,standard,/ˈstæn.dərd/,adj,accepted level of quality; an official measurement
769,statement,/ˈsteɪt.mənt/,noun,act or process of saying something formally
709,station,/ˈsteɪ.ʃən/,noun,place where you can catch a train or a bus
477,step,/stɛp/,noun,flat horizontal piece that forms stairs
691,stock,/stɑk/,noun,"all the things that can be used or sold, usually in a store or business"
617,store,/stɔr/,noun,place where you can go to buy things
598,street,/strit/,noun,road in a city with buildings and places to walk
776,strike,/straɪk/,verb,to hit something
461,strong,"/strɔŋ/, /strɑŋ/",adj,having big muscles; physically powerful
667,structure,/ˈstrʌk.tʃər/,noun,"way something is built, arranged, or organized"
752,stuff,/stʌf/,noun,"generic description for things, materials, objects"
725,success,/səkˈsɛs/,noun,achievement of a desired purpose or goal
654,summer,/ˈsʌm.ər/,noun,part of the year when the weather is hot
610,suppose,/səˈpoʊz/,verb,to imagine or guess what might happen
634,surprise,/sərˈpraɪz/,verb,to do something that another person didn't expect
450,table,/ˈteɪ.bəl/,noun,raised flat surface
797,target,/ˈtɑr.gɪt/,noun,a goal or amount you are trying to achieve
787,tax,/tæks/,noun,money taken by a government from its people
539,teach,/titʃ/,verb,to help someone learn or do something
496,teacher,/ˈti.tʃər/,noun,"person who teaches others, especially in a school"
407,team,/tim/,noun,group of people working on a task together
563,technology,/tɛkˈnɑl.ə.dʒi/,noun,"use or knowledge of science in industry, engineering, etc."
795,television,/ˈtɛl.əˌvɪʒ.ən/,noun,"device that broadcasts programs, movies, or show"
480,themselves,/ðəmˈsɛlvz/,pron,reflexive form of they
525,therefore,/ˈðɛərˌfɔr/,adv,for that reason
684,thus,/ðʌs/,adv,therefore; so; as a result
726,tomorrow,/təˈmɔr.oʊ/,adv,day after today
569,total,/ˈtoʊt.l/,noun,whole number or amount of something
406,toward,/təˈwɔrd/,adv,facing or moving in the direction of something
544,trade,/treɪd/,verb,"to buy, sell and exchange goods in business"
503,travel,/ˈtræv.əl/,verb,to go to a place that is far away
738,tree,/tri/,noun,tall green plants in a forest
478,true,/tru/,adj,agreeing with the facts; not false; real or actual
780,unit,/ˈju.nɪt/,noun,single thing or person; a part of something larger
579,upon,/əˈpɑn/,prep,more formal term for on
555,usually,/ˈju.ʒu.ə.li/,adv,normally; regularly
682,various,/ˈvɛər.i.əs/,adj,several; consisting of different things or types
607,voice,/vɔɪs/,noun,sound made when you speak or sing
548,vote,/voʊt/,verb,"to make a choice for or against, as in an election"
403,wait,/weɪt/,verb,to spend time until an expected thing happens
722,wall,/wɔl/,noun,"high, flat side of a room or building"
435,war,/wɔr/,noun,situation where armies fight each other
526,wear,/wɛər/,verb,"to have clothes, glasses, shoes, etc., on your body"
675,whatever,/wʌtˈɛ.vər/,det,anything or everything needed; no matter what
482,white,/waɪt/,adj,lightest color; the color of fresh snow and milk
753,wide,/waɪd/,adj,having a great distance from one side to the other
602,wife,/waɪf/,noun,married woman
734,window,/ˈwɪn.doʊ/,noun,opening in a wall or door to let in light
524,wish,/wɪʃ/,verb,to want something to happen or to become true
665,wonder,/ˈwʌn.dər/,noun,surprise caused by experiencing something amazing
673,worker,/ˈwɜr.kər/,noun,person who works
653,worry,/ˈwʌr.i/,verb,to feel concerned or troubled about something
575,wrong,/rɑŋ/,adj,"not right, incorrect; not true; bad"
703,yesterday,/ˈjɛs.tərˌdeɪ/,adv,day before today
1078,absolutely,/ˌæb.səˈlut.li/,adv,completely; totally; very
802,access,/ˈæk.sɛs/,noun,an entrance to a place; a way in
1081,additional,/əˈdɪʃ.ə.nl/,adj,further or added
1046,administration,/ædˌmɪn.əˈstreɪ.ʃən/,noun,"the work of running something (e.g., a business)"
1034,admit,/ədˈmɪt/,verb,"to agree that you did something bad, or that something bad is true"
880,adult,/ˈæd.ʌlt/,noun,person or animal that is fully grown
844,advance,/ædˈvæns/,verb,to move forward in a certain direction
1172,advertise,/ˈæd.vərˌtaɪz/,verb,"to show how good a product is, to make people buy"
1040,advice,/ædˈvaɪs/,noun,suggestion about what someone should do
948,afternoon,/ˌæf.tərˈnun/,noun,time after 12:00 and before the evening meal
970,agency,/ˈeɪ.dʒən.si/,noun,business that provides some service for others
992,agent,/ˈeɪ.dʒənt/,noun,person who can represent and decide for others
974,ahead,/əˈhɛd/,adv,in or toward the front
1090,alternative,/ɔlˈtɜr.nə.tɪv/,noun,other choices
1004,announce,/əˈnaʊns/,verb,"to make a public statement about a plan, decision"
1177,annual,/ˈæn.ju.əl/,adj,"happening once a year, or every year"
893,anyway,/ˈɛn.iˌweɪ/,adv,a word people use to change the topic of a conversation
1121,apart,/əˈpɑrt/,adv,separated by an amount of time or space
1073,appeal,/əˈpil/,verb,to request a judge or others change a decision
884,application,/ˌæp.lɪˈkeɪ.ʃən/,noun,"formal request for a job, building permission, etc."
1019,appropriate,/əˈprəʊ.pri.ɪt/,adj,right or suitable for some situation or purpose
879,argument,/ˈɑr.gjə.mənt/,noun,a discussion in which you disagree with another's opinion
1183,artist,/ˈɑr.tɪst/,noun,"a person who is skilled and creative in art, such as a painter"
857,associate,/əˈsəʊ.ʃiˌeɪt/,noun,"partner in professional work (e.g., in law)"
870,assume,/əˈsum/,verb,"to believe, based on the evidence; suppose"
820,attend,/əˈtɛnd/,verb,to be present at an event
1094,attitude,/ˈæt.ɪˌtud/,noun,"way you act, think, and feel about something"
1166,audience,/ˈɔ.di.əns/,noun,"group of people listening, watch a play, movie, etc."
910,author,/ˈɔ.θər/,noun,"person who writes books, plays, poems, etc."
851,avoid,/əˈvɔɪd/,verb,"to prevent from happening, or stay away from"
1039,aware,/əˈwɛər/,adj,knowing or feeling that something exists
871,baby,/ˈbeɪ.bi/,noun,"very young child, who cannot yet speak"
907,balance,/ˈbæl.əns/,verb,to make two or more things equal
1087,band,/bænd/,noun,"group of people who work together (e.g., play music)"
837,bar,/bɑr/,verb,"to prevent entry, exit, or an action"
911,basic,/ˈbeɪ.sɪk/,adj,at the most important or easiest (beginner) level
909,basis,/ˈbeɪ.sɪs/,noun,"starting situation, fact, idea to develop from"
1035,beat,/bit/,verb,to win against another person or team; defeat
826,beyond,/bɪˈjɑnd/,adv,on or to the farther side; in addition to
888,bill,/bɪl/,noun,a piece of paper showing what you have to pay
1020,block,/blɑk/,verb,to stop from going forward or making progress
1018,blood,/blʌd/,noun,red liquid in the bodies of people and animals
858,blue,/blu/,adj,color of the clear sky
861,box,/bɑks/,noun,a container with (usually) four straight sides and a lid
821,brother,/ˈbrʌð.ər/,noun,a boy or man who shares a parent with you
1016,budget,/ˈbʌdʒ.ɪt/,noun,amount of money planned to be spent on something
810,bus,/bʌs/,noun,a large road vehicle used for carrying many people
1165,camp,/kæmp/,noun,place where people live for a short time in tents
977,candidate,/ˈkæn.dɪ.deɪt/,noun,a person being considered for a job or position in office
892,career,/kəˈrɪər/,noun,a particular occupation in professional life
1192,category,/ˈkæt.ɪˌgɔr.i/,noun,groups of things that are similar in some way
891,central,/ˈsɛn.trəl/,adj,being in the middle
1060,chair,/tʃɛər/,noun,a piece of furniture you sit on when sitting at a table or desk
1095,cheap,/tʃip/,adj,not costing a lot of money
1155,chief,/tʃif/,adj,most important one
842,clean,/klin/,adj,being free from dirt or marks because it was washed
932,clock,/klɒk/,noun,a device that shows the time
956,clothes,/kloʊðz/,noun,"things you wear on your body (e.g., shirt, dress, tie)"
867,cold,/koʊld/,adj,having a very low temperature
1069,collect,/kəˈlɛkt/,verb,to gather things/people together in one place
1084,collection,/kəˈlɛk.ʃən/,noun,group of similar things gathered as a hobby
1038,committee,/kəˈmɪt.i/,noun,group of people who do or decide something
991,communication,/kəˌmju.nɪˈkeɪ.ʃən/,noun,talking to people; giving information to people
875,competition,/ˌkɑm.pɪˈtɪʃ.ən/,noun,fighting against others when trying to win something
960,completely,/kəmˈplit.li/,adv,in every way or as much as possible
1047,complex,/ˈkɑm.plɛks/,adj,"difficult, not easy to understand or explain"
931,conclusion,/kənˈklu.ʒən/,noun,judgment or opinion after thinking for a while
1054,conduct,/kənˈdʌkt/,verb,"to direct, lead or guide something"
812,conference,/ˈkɑn.fər.əns/,noun,an event where people exchange ideas
1184,conflict,/kənˈflɪkt/,verb,to have opposite ideas; to disagree; to not match
1066,connection,/kəˈnɛk.ʃən/,noun,something that joins things together; being joined
1133,consumer,/kənˈsu.mər/,noun,person who uses goods or services; individual buyer
1025,content,/ˈkɑn.tɛnt/,noun,"information in something (e.g., a book or computer program)"
1049,context,/ˈkɑn.tɛkst/,noun,set of facts surrounding a person or event
1179,contrast,/ˈkɑn.træst/,verb,"to compare; to show clear, obvious differences"
982,conversation,/ˌkɑn.vərˈseɪ.ʃən/,noun,when you talk with other people; discussion or chat
1196,cook,/kʊk/,verb,to heat food until it is ready to eat
1156,cool,/kul/,adj,almost cold; not warm or hot
1037,copy,/ˈkɑp.i/,verb,to make something that looks the same as the original
1188,corner,/ˈkɔr.nər/,noun,"place where two or three sides, lines, or roads meet"
1032,correct,/kəˈrɛkt/,adj,true or accurate
1022,count,/kaʊnt/,verb,to add things together to find the total number
944,credit,/ˈkrɛd.ɪt/,noun,system to buy something and pay for it later
1128,crime,/kraɪm/,noun,"act that is against the law; murder, theft, etc."
975,cross,/krɑs/,verb,to meet at one point
1187,crowd,/kraʊd/,noun,large group of people together in one place
955,daily,/ˈdeɪ.li/,adv,happening every day
908,damage,/ˈdæm.ɪdʒ/,noun,physical harm that is done to something
959,dance,/dæns/,verb,to move your body rhythmically to music
923,dark,/dɑrk/,adj,having little or no light; not light in color
927,daughter,/ˈdɔ.tər/,noun,a female child of someone
947,dead,/dɛd/,adj,not alive
938,debate,/dɪˈbeɪt/,noun,general public discussion of a topic
1130,decade,/ˈdɛk.eɪd/,noun,period of 10 years
1129,decline,/dɪˈklaɪn/,verb,to not accept an invitation or offer; refuse
840,deep,/dip/,adj,going far down from the surface
1194,defense,/dɪˈfɛns/,noun,process of protecting something from attack
930,define,/dɪˈfaɪn/,verb,to explain the meaning of words
1064,deliver,/dɪˈlɪv.ər/,verb,to take something to a person or place
1001,difficulty,/ˈdɪf.ɪˌkʌl.ti/,noun,something that is hard to do
1117,dinner,/ˈdɪn.ər/,noun,"main meal of the day, usually in the evening in the us"
952,direction,/dɪˈrɛk.ʃən/,noun,"describes the way you are going (e.g., north)"
1051,directly,/dɪˈrɛkt.li/,adv,in a frank and honest way
946,discover,/dɪˈskʌv.ər/,verb,to find something new that was not known before
906,disease,/dɪˈziz/,noun,"illness that affects a person, animal, or plant"
1109,display,/dɪˈspleɪ/,verb,to put so they can be seen or be bought
1145,distance,/ˈdɪs.təns/,noun,amount of space between two places or things
882,document,/ˈdɑk.jʊ.mənt/,noun,official (printed) record that gives information
895,dog,/dɔg/,noun,a small 4-legged animal that barks kept as a pet
971,dollar,/ˈdɑ.lər/,noun,a basic unit of money equal to 100 cent
1096,double,/ˈdʌb.əl/,prep,two times the amount or degree; twice
874,doubt,/daʊt/,noun,not being sure of something; lack of certainty
966,dream,/drim/,noun,"images, thoughts, and feelings that are experienced during sleep"
899,dress,/drɛs/,verb,to put clothes on; (n) clothing that covers the upper part of the body down to the legs
1200,driver,/ˈdraɪ.vər/,noun,someone who operates a vehicle
1135,dry,/draɪ/,adj,without water; not wet
926,earn,/ɜrn/,verb,to get money for work
969,easily,/ˈi.zə.li/,adv,without difficulty
1164,edge,/ɛdʒ/,noun,boundary of a surface
1031,effective,/ɪˈfɛk.tɪv/,adj,working efficiently to produce a desired result
1030,element,/ˈɛl.ə.mənt/,noun,essential or particular part of something
1169,e-mail,/ˈiˌmeɪl/,noun,"a system for sending messages electronically, especially from one computer to another using the internet"
912,encourage,/ɛnˈkɜr.ɪdʒ/,verb,to make someone more determined or confident
831,energy,/ˈɛn.ər.dʒi/,noun,physical or mental strength
1153,ensure,/ɛnˈʃʊər/,verb,"to make something sure, certain, or safe"
1185,entire,/ɛnˈtaɪər/,adj,complete or full; with no part left out; whole
1055,equipment,/ɪˈkwɪp.mənt/,noun,tools or materials used to perform a task
999,estimate,/ˈɛs.tə.mɪt/,noun,"guess or calculation of cost, size, or value"
1140,eventually,/ɪˈvɛn.tʃu.ə.li/,adv,finally
933,everybody,/ˈɛv.riˌbɑ.di/,pron,every person; everyone
1104,examine,/ɪgˈzæm.ɪn/,verb,to look at someone or something very carefully in order to learn more
1163,excellent,/ˈɛk.sə.lənt/,adj,extremely good
841,except,/ɪkˈsɛpt/,prep,not including; other than
1015,exchange,/ɪksˈtʃeɪndʒ/,verb,to give things of similar value to each other
1142,excite,/ɪkˈsaɪt/,verb,"to make someone feel happy, interested, or eager"
1059,executive,/ɪgˈzɛk.jə.tɪv/,noun,a senior manager in a business or organization
917,exercise,/ˈɛk.sərˌsaɪz/,noun,to work out to become stronger and healthier
1061,expensive,/ɪkˈspɛn.sɪv/,adj,costing a lot of money
1157,expert,/ˈɛk.spərt/,noun,skillful person with special knowledge
818,express,/ɪkˈsprɛs/,verb,to state or show what you think or how you feel
950,extend,/ɪkˈstɛnd/,verb,"to straighten or stretch something out (e.g., your leg)"
1175,extent,/ɪkˈstɛnt/,noun,range or space included in something
1058,extra,/ˈɛk.strə/,adj,more than necessary; additional
953,facility,/fəˈsɪl.ɪ.ti/,noun,piece of equipment or buildings with a special use
1080,fair,/fɛər/,adj,treating all people the same way
1017,famous,/ˈfeɪ.məs/,adj,widely known; recognized by many people
1083,farm,/fɑrm/,noun,land used for growing crops or raising animals
1134,favor,/ˈfeɪ.vər/,noun,helpful act of kindness
1000,favorite,/ˈfeɪv.rɪt/,adj,most liked; best loved
1123,federal,/ˈfɛd.ər.əl/,adj,system of government
1149,feed,/fid/,verb,"to give food (e.g., to an animal or a baby)"
961,female,/ˈfi.meɪl/,adj,person of the sex that gives birth to babies
835,file,/faɪl/,verb,"to submit documents to an authority (e.g., city hall)"
845,fill,/fɪl/,verb,to make something full
828,fish,/fɪʃ/,noun,animal that swims and lives in the sea
973,fix,/fɪks/,verb,to make something whole or able to work again
1077,flat,/flæt/,adj,level; even; without curves or bumps
1079,flow,/floʊ/,verb,to move steadily and easily in a certain direction
881,fly,/flaɪ/,verb,to travel through the air using wings
1178,fully,/ˈfʊl.li/,adv,completely or entirely
902,fun,/fʌn/,adj,amusing and enjoyable
972,garden,/ˈgɑr.dn/,noun,yard; ground outside your house to grow plants
1189,gas,/gæs/,noun,"elements in our air, like oxygen or nitrogen"
848,generally,/ˈdʒɛn.ər.ə.li/,adv,"usually; as a rule; by, to, or for most people"
998,generation,/ˌdʒɛn.əˈreɪ.ʃən/,noun,people born and living at about the same time
1042,glass,/glæs/,noun,hard transparent material used for making windows
1170,global,/ˈgloʊ.bəl/,adj,"concerning, affecting, or involving the entire world"
856,goal,/goʊl/,noun,something you try to do or achieve; an aim
1147,grant,/grɑnt/,verb,to give or let someone do what they want
940,green,/grin/,noun,color of young leaves
901,guess,/gɛs/,verb,to give an answer without knowing if it is correct
1146,guide,/gaɪd/,verb,to lead people visiting a new or unknown place
913,hair,/hɛər/,noun,long thin strands on your head or body
1041,handle,/ˈhæn.dl/,verb,to have the ability to cope with or take responsibility for
1085,hang,/hæŋ/,verb,"to attach a picture, photograph, etc., onto a wall"
1141,heat,/hit/,verb,to make hot or hotter
1052,heavy,/ˈhɛv.i/,adj,having a lot of weight
996,herself,/hərˈsɛlf/,pron,female person that did the original action
1074,highly,/ˈhaɪ.li/,adv,more than usual; to a great degree
1139,horse,/hɔrs/,noun,large animal with 4 legs used for riding
885,hot,/hɑt/,adj,having a high temperature
862,huge,/hjudʒ/,adj,very very large
801,husband,/ˈhʌz.bənd/,noun,married man
805,identify,/aɪˈdɛn.tɪ.faɪ/,verb,to indicate who or what someone or something is
924,imagine,/ɪˈmædʒ.ɪn/,verb,to think creatively about; form a mental picture of
988,immediately,/ɪˈmi.di.ɪt.li/,adv,without any delay; straight away; right (after or before)
1144,importance,/ɪmˈpɔr.tns/,noun,being important; having a big effect on
920,income,/ˈɪn.kʌm/,noun,"earned money from work, investments, or business"
1006,independent,/ˌɪn.dɪˈpɛn.dənt/,adj,making your own decisions; not controlled by others
819,indicate,/ˈɪn.dɪˌkeɪt/,verb,"to show something, direct attention to, or point out"
1070,inform,/ɪnˈfɔrm/,verb,to give information or facts about something
864,instance,/ˈɪn.stəns/,noun,one of a particular group given as an example
1137,institution,/ˌɪn.stɪˈtu.ʃən/,noun,organization created for a particular cause or purpose
1114,intend,/ɪnˈtɛnd/,verb,to plan or want to do something
822,investment,/ɪnˈvɛst.mənt/,noun,something purchased hoping its value will increase
1028,invite,/ɪnˈvaɪt/,verb,to ask someone to go somewhere or do something
995,judge,/dʒʌdʒ/,verb,to form an opinion after careful consideration
1160,labor,/ˈleɪ.bər/,verb,to work hard (often physically) for many hours
1131,launch,/lɑntʃ/,verb,to put a rocket into the air; put a ship into the water
1105,lay,/leɪ/,verb,to put or set something down in a flat position
1097,leg,/lɛg/,noun,part of the body from the thigh down
979,legal,/ˈli.gəl/,adj,concerning the law; allowed by law
1162,library,/ˈlaɪˌbrə.ri/,noun,place where books and other media are kept
1167,lift,/lɪft/,verb,to move something to higher position
806,loss,/lɑs/,noun,experience or state of failing to have or keep
985,magazine,/ˌmæg.əˈzin/,noun,weekly or monthly publication with pictures and stories
943,maintain,/meɪnˈteɪn/,verb,"to keep, exist or continue without changing"
1009,majority,/məˈdʒɑr.ɪ.ti/,noun,amount that is more than half of a group
914,male,/meɪl/,adj,characteristic of boys or men
850,match,/mætʃ/,noun,a sports competition between two people or teams
1033,medical,/ˈmɛd.ɪ.kəl/,adj,of or relating to physical health or medicine
939,memory,/ˈmɛm.ə.ri/,noun,something that has been remembered
863,message,/ˈmɛs.ɪdʒ/,noun,piece of information that is told/given to someone
836,middle,/ˈmɪd.əl/,noun,place that is halfway between two things
937,mine,/maɪn/,pron,that thing that belongs to me
1152,mistake,/mɪˈsteɪk/,noun,"something done wrong, calculated wrong.; error"
1029,mix,/mɪks/,verb,to combine two or more things to make one
808,modern,/ˈmɑd.ərn/,adj,of the present time; up to date; contemporary
803,movement,/ˈmuv.mənt/,noun,a change in the position of something
817,natural,/ˈnætʃ.ər.əl/,adj,not made by humans; without human intervention
1086,negative,/ˈnɛg.ə.tɪv/,adj,"being harmful, unwanted, or unhelpful"
1191,net,/nɛt/,noun,material made of string tied together and used to catch fish or other small animals
847,network,/ˈnɛtˌwɜrk/,noun,system of connections
929,newspaper,/ˈnuzˌpeɪ.pər/,noun,sheets of paper (or online) containing news stories
1103,nobody,/ˈnoʊˌbɑd.i/,pron,no person; no one; not any person
1014,none,/nʌn/,pron,not one of a group; not at all or in no way
967,nor,/nɔr/,conj,used to show two things that are both untrue or do not happen
855,normal,/ˈnɔr.məl/,adj,standard or regular way of doing something
1198,nuclear,/ˈnu.kli.ər/,adj,concerning or involving the center of an atom
942,object,/əbˈdʒɛkt/,verb,to disagree; to protest against an idea or plan
1098,observe,/əbˈzɜrv/,verb,to watch carefully; to make a comment
886,obviously,/ˈɑb.vɪ.əs.lɪ/,adv,in a way that is easy to see or understand
896,officer,/ˈɔ.fə.sər/,noun,a person with an important position in an organization
898,oil,/ɔɪl/,noun,"thick, black liquid in the ground used as fuel"
925,okay,/ˈoʊˈkeɪ/,intj,yes; alright
915,operate,/ˈɑp.əˌreɪt/,verb,to be working or being used
849,operation,/ˌɒp.əˈreɪ.ʃən/,noun,functioning; use
860,option,/ˈɑp.ʃən/,noun,possibility out of several that can be chosen; choice
824,organize,/ˈɔr.gəˌnaɪz/,verb,"to arrange and plan things (e.g., a party)"
963,original,/əˈrɪdʒ.ə.nl/,adj,"being first made, thought, or performed; fresh"
1056,otherwise,/ˈʌð.ərˌwaɪz/,adv,"indicates that there will be a bad result if something is done, not done, or done improperly"
1113,overall,/ˈoʊ.vərˌɔl/,adj,"viewed as a whole; in general, not as details"
1150,pain,/peɪn/,noun,strong feeling of hurt or discomfort
1092,pair,/pɛər/,noun,"two of the same thing (e.g., socks)"
1136,partner,/ˈpɑrt.nər/,noun,someone you have a business or personal relationship with
883,pattern,/ˈpæt.ərn/,noun,a series of actions or designs that can be repeated
1126,peace,/pis/,noun,time when there is no war or fighting
1125,percentage,/pərˈsɛn.tɪdʒ/,noun,part of a whole divided into hundredths
1111,perfect,/ˈpɜr.fɪkt/,adj,so good it/they cannot be improved
935,perform,/pərˈfɔrm/,verb,to carry out an action well or successfully
1182,photograph,/ˈfoʊ.təˌgræf/,verb,a picture made with a camera that shows how things look in real life
1120,physical,/ˈfɪz.ɪ.kəl/,adj,concerning the body of a person
1107,politics,/ˈpɒl.ɪ.tɪks/,noun,activities influencing the policies of a government
859,positive,/ˈpɑz.ɪ.tɪv/,adj,"good or useful in qualities, constructive, confident"
951,possibility,/ˌpɑs.əˈbɪl.ɪ.ti/,noun,something with a chance of happening or being true
928,post,/poʊst/,verb,to send a letter or package using the post office
830,potential,/pəˈtɛn.ʃəl/,adj,capable of happening or becoming reality
984,pound,/paʊnd/,noun,unit of weight equal to 16 ounces or 0.4536 kg
949,prefer,/prɪˈfɜr/,verb,to like something better than something else
1186,presence,/ˈprɛz.əns/,noun,fact that someone or something is in a particular place
809,pressure,/ˈprɛʃ.ər/,noun,force/weight when pressing against a thing
1026,prevent,/prɪˈvɛnt/,verb,to stop something from happening or existing
922,previous,/ˈpri.vi.əs/,adj,existing or happening before the present time
1067,primary,/ˈpraɪ.mɛr.i/,adj,"most important, most basic or essential"
1071,principle,/ˈprɪn.sə.pəl/,noun,strong belief that influences a person's actions; basic law or belief
1100,print,/prɪnt/,verb,"to make many copies of a page, magazine, or book"
1168,procedure,/prəˈsi.dʒər/,noun,usual or standard way in which something is done
936,professional,/prəˈfɛʃ.ə.nl/,adj,"about a job such as a doctor, lawyer, accountant, etc."
900,profit,/ˈprɑf.ɪt/,verb,to earn money from something
1101,progress,/prəˈgrɛs/,verb,to move forward or toward a place or goal
829,promise,/ˈprɑm.ɪs/,verb,to say you will certainly do something
921,property,/ˈprɑp.ər.ti/,noun,"things, buildings, or pieces of land owned by someone"
980,proposal,/prəˈpoʊ.zəl/,noun,offer or plan to people who can decide about it
877,propose,/prəˈpoʊz/,verb,to offer or put forward an idea for consideration
903,protect,/prəˈtɛkt/,verb,to defend someone or something from harm or danger
1002,purchase,/ˈpɜr.tʃəs/,verb,to buy something; to get by paying money for it
868,push,/pʊʃ/,verb,to force something away from you
869,quarter,/ˈkwɔr.tər/,noun,one of four equal parts of something
1195,quick,/kwɪk/,adj,using very little time; moving far in little time
1045,radio,/ˈreɪ.diˌoʊ/,noun,system for sending and receiving signals through the air
1143,reader,/ˈri.dər/,noun,person who reads written or printed materials
1181,reality,/riˈæl.ɪ.ti/,noun,"what is true, as opposed to what is imagined"
1007,recommend,/ˌrɛk.əˈmɛnd/,verb,to say something is good and deserves to be chosen
866,refer,/rɪˈfɜr/,verb,to talk about or write about something
878,reference,/ˈrɛf.ər.əns/,verb,to cite a piece of research in speech or in writing
916,reflect,/rɪˈflɛkt/,verb,"to bounce back off a surface (e.g., light)"
1119,regular,/ˈrɛg.jə.lər/,adj,occurring or being done frequently
833,relation,/rɪˈleɪ.ʃən/,noun,"manner in which people, groups, or countries behave toward one another"
1088,relative,/ˈrɛl.ə.tɪv/,noun,measured or considered in comparison to something else
1053,remove,/rɪˈmuv/,verb,"to move, erase or take away from a place"
994,replace,/rɪˈpleɪs/,verb,to use instead of something else
1108,reply,/rɪˈplaɪ/,noun,answer someone's question
1011,request,/rɪˈkwɛst/,verb,to ask for something
904,resource,/rɪˈsɔrs/,noun,essential supply of something
1116,respond,/rɪˈspɑnd/,verb,to say or write to answer the question
962,responsibility,/rɪˌspɑn.səˈbɪl.ɪ.ti/,noun,state of being dependable or reliable
1082,responsible,/rɪˈspɑn.sə.bəl/,adj,having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner
919,restaurant,/ˈrɛs.təˌrɑnt/,noun,"place where you can order, buy and eat a meal"
1124,reveal,/rɪˈvil/,verb,"to make known, to show or prove"
1012,rich,/rɪtʃ/,adj,"having a lot of money, possessions, or resources"
1050,ride,/raɪd/,verb,to sit on and control a horse or vehicle
945,ring,/rɪŋ/,noun,"a thing that roughly forms a circle, usually around something; the sound of a bell"
1176,river,/ˈrɪv.ər/,noun,flowing water that runs from mountains to the sea
965,rock,/rɑk/,noun,"big stone; hard, solid substance forming mountains"
1180,roll,/roʊl/,verb,to move along a surface by turning many times
1027,safe,/seɪf/,adj,being out of danger
1062,sample,/ˈsæm.pəl/,verb,"to try something to see if you like it (e.g., food)"
1154,satisfy,/ˈsæt.ɪsˌfaɪ/,verb,to be happy because you met your expectation
1199,scale,/skeɪl/,noun,a device that is used to weigh a person or thing
1023,scene,/sin/,noun,part of an act in a play
905,science,/ˈsaɪ.əns/,noun,knowledge of the physical world based on facts
823,score,/skɔr/,verb,to get points in a sport such as kicking a ball into a goal
957,screen,/skrin/,noun,"flat surface on a computer, or tv that shows images"
987,sea,/si/,noun,place with a large amount of salt water
